trID,ord_ID,trDate,frNameID,trAmount,trSubject,trText,trtimezone,trDueDate,trOpen,trGroup,trID4,trUse2,trEndDate,snoozeNum,crispReply,__raw_json
40409111,4397318,2026-03-26T05:30:04.73,Robot,74.98,Verify and Pull Down Times,,1ES,2026-03-26T05:30:00,1,Address,,,2026-03-27T00:00:00,0,False,"{""trID"": 40409111, ""ord_ID"": 4397318, ""trDate"": ""2026-03-26T05:30:04.73"", ""frNameID"": ""Robot"", ""trAmount"": 74.98, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""1ES"", ""trDueDate"": ""2026-03-26T05:30:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-27T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409101,3927229,2026-03-26T05:09:20.573,Robot,282.7,Verify and Pull Down Times,,1ES,2026-03-26T05:09:00,1,Address,,,2026-03-26T00:00:00,0,False,"{""trID"": 40409101, ""ord_ID"": 3927229, ""trDate"": ""2026-03-26T05:09:20.573"", ""frNameID"": ""Robot"", ""trAmount"": 282.7, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""1ES"", ""trDueDate"": ""2026-03-26T05:09:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-26T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409087,4397310,2026-03-26T04:57:02.15,Robot,67.23,Verify and Pull Down Times,,1ES,2026-03-26T04:57:00,1,Address,,,2026-03-26T00:00:00,0,False,"{""trID"": 40409087, ""ord_ID"": 4397310, ""trDate"": ""2026-03-26T04:57:02.15"", ""frNameID"": ""Robot"", ""trAmount"": 67.23, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""1ES"", ""trDueDate"": ""2026-03-26T04:57:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-26T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409060,4552115,2026-03-26T04:24:20.537,Robot,84.01,Verify and Pull Down Times,,2CS,2026-03-26T04:24:00,1,Address,,,2026-03-27T00:00:00,0,False,"{""trID"": 40409060, ""ord_ID"": 4552115, ""trDate"": ""2026-03-26T04:24:20.537"", ""frNameID"": ""Robot"", ""trAmount"": 84.01, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""2CS"", ""trDueDate"": ""2026-03-26T04:24:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-27T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409056,5545750,2026-03-26T04:08:40.5,Robot,195.96,Verify and Pull Down Times,,2CS,2026-03-26T04:09:00,1,Address,,,2026-03-30T00:00:00,0,False,"{""trID"": 40409056, ""ord_ID"": 5545750, ""trDate"": ""2026-03-26T04:08:40.5"", ""frNameID"": ""Robot"", ""trAmount"": 195.96, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""2CS"", ""trDueDate"": ""2026-03-26T04:09:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-30T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409040,3927222,2026-03-26T01:08:22.63,Robot,130.97,Verify and Pull Down Times,,0AT,2026-03-26T01:08:00,1,Address,,,2026-03-26T00:00:00,0,False,"{""trID"": 40409040, ""ord_ID"": 3927222, ""trDate"": ""2026-03-26T01:08:22.63"", ""frNameID"": ""Robot"", ""trAmount"": 130.97, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""0AT"", ""trDueDate"": ""2026-03-26T01:08:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-26T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409035,5545717,2026-03-25T23:29:21.247,Robot,165.32,Verify and Pull Down Times,,1ES,2026-03-25T23:29:00,1,Address,,,2026-03-31T00:00:00,0,False,"{""trID"": 40409035, ""ord_ID"": 5545717, ""trDate"": ""2026-03-25T23:29:21.247"", ""frNameID"": ""Robot"", ""trAmount"": 165.32, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""1ES"", ""trDueDate"": ""2026-03-25T23:29:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-31T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409030,5545714,2026-03-25T23:20:02.31,Robot,92.55,Verify and Pull Down Times,,4PS,2026-03-25T23:20:00,1,Address,,,2026-03-28T00:00:00,0,False,"{""trID"": 40409030, ""ord_ID"": 5545714, ""trDate"": ""2026-03-25T23:20:02.31"", ""frNameID"": ""Robot"", ""trAmount"": 92.55, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""4PS"", ""trDueDate"": ""2026-03-25T23:20:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-28T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409014,5545702,2026-03-25T21:34:20.55,Robot,96.73,Verify and Pull Down Times,,3MS,2026-03-25T21:34:00,1,Address,,,2026-03-25T00:00:00,0,False,"{""trID"": 40409014, ""ord_ID"": 5545702, ""trDate"": ""2026-03-25T21:34:20.55"", ""frNameID"": ""Robot"", ""trAmount"": 96.73, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""3MS"", ""trDueDate"": ""2026-03-25T21:34:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-25T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
40409009,3927207,2026-03-25T21:08:20.947,Robot,98.23,Verify and Pull Down Times,,2CS,2026-03-25T21:08:00,1,Address,,,2026-03-26T00:00:00,0,False,"{""trID"": 40409009, ""ord_ID"": 3927207, ""trDate"": ""2026-03-25T21:08:20.947"", ""frNameID"": ""Robot"", ""trAmount"": 98.23, ""trSubject"": ""Verify and Pull Down Times"", ""trText"": null, ""trtimezone"": ""2CS"", ""trDueDate"": ""2026-03-25T21:08:00"", ""trOpen"": 1, ""trGroup"": ""Address"", ""trID4"": null, ""trUse2"": null, ""trEndDate"": ""2026-03-26T00:00:00"", ""snoozeNum"": 0, ""crispReply"": false}"
